appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
365210,Hollywood Visionary,2015-05-01,1,Choice of Games,Choice of Games,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Steam Cloud,Indie;RPG,RPG;Indie;Choose Your Own Adventure,64,68,9,0,0,0-20000,3.99
365810,Flying Tigers: Shadows Over China,2017-05-29,1,ACE MADDOX,ACE MADDOX,windows,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Casual;Indie;Simulation,Flight;World War II;Action,28,525,211,0,0,20000-50000,11.39
366990,Puzzle Station 15th Anniversary Retro Release,2015-04-30,1,Ninai Games;YeaBoing,YeaBoing,windows,0,Single-player,Casual;Indie,Casual;Indie;Puzzle,0,19,10,0,0,0-20000,2.79
367040,InsanZ - Retro Survival Horror,2015-04-27,1,SimplexGameStudio,SimplexGameStudio,windows,0,Single-player,Action;Indie,Action;Indie;Survival Horror,0,2,6,0,0,0-20000,4.99
367060,Helena The 3rd,2015-05-01,1,Only Human Studios,Only Human Studios,windows,0,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support,Action;Indie,Action;Indie,0,11,5,0,0,0-20000,0.79
369000,Pongo,2015-05-11,1,Drixy Games,Black Shell Media,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Stats,Action;Adventure;Casual;Indie;Strategy,Action;Casual;Indie,8,328,140,658,658,100000-200000,0.79
370300,8-Bit Adventures: The Forgotten Journey Remastered Edition,2015-05-22,1,Critical Games,Critical Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie;RPG,RPG;Adventure;Indie,40,64,11,0,0,50000-100000,6.99
370560,Geek Resort,2016-01-20,1,Shinypix,Shinypix,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Casual;Simulation,Casual;Simulation,0,6,6,0,0,0-20000,3.99
370670,The Tale of a Common Man,2016-09-02,1,Aldorlea Games,Aldorlea Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,RPG;Indie;Casual,12,92,4,0,0,0-20000,6.99
372750,Girl Amazon Survival,2016-08-16,1,Kobra Studio,Kobra Studio,windows;mac;linux,0,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;Simulation;Early Access,Early Access;Adventure;Indie,22,74,113,449,460,50000-100000,1.99
372780,Pulse,2015-10-20,1,Pixel Pi Games,Pixel Pi Games,windows;mac;linux,0,Single-player;Full controller support;Steam Cloud,Adventure;Indie,Adventure;Indie;Female Protagonist,8,32,26,0,0,0-20000,5.79
372890,Red Crow Mysteries: Legion,2015-05-28,1,Cateia Games,Libredia Entertainment,windows;mac,0,Single-player,Adventure;Casual,Casual;Adventure;Hidden Object,0,6,19,0,0,0-20000,4.99
374120,Fork Truck Challenge,2015-07-24,1,Mint Arcade Ltd.,Mint Arcade Ltd.,windows,0,Single-player;Online Multi-Player;Online Co-op;Partial Controller Support;Steam Leaderboards,Indie;Simulation;Early Access,Early Access;Simulation;Indie,0,5,8,0,0,0-20000,5.59
375170,Gunpowder,2015-07-08,1,Rogue Rocket Games,Rogue Rocket Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Puzzle;Indie;Action,30,28,7,0,0,0-20000,1.59
375760,Volstead,2015-06-25,1,Carlos Vázquez Ordóñez,VoidMain Studios,windows,0,Single-player;Multi-player;Shared/Split Screen,Indie;Simulation;Strategy,Strategy;Indie;Simulation,0,18,25,0,0,0-20000,1.99
377690,Starlight Vega,2016-04-14,1,Razzart Visual,Razzart Visual,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Sexual Content;Nudity;Casual;Indie,Nudity;Female Protagonist;Visual Novel,11,158,9,0,0,0-20000,7.19
379720,DOOM,2016-05-12,1,id Software,Bethesda Softworks,windows,18,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,FPS;Action;Gore,54,68536,5156,751,560,2000000-5000000,14.99
379870,Alteil: Horizons,2016-10-27,1,Apocoplay LLC;Ludeme Games;Coreedge Inc,Apocoplay LLC,windows,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases,Free to Play;Indie;Strategy,Free to Play;Strategy;Indie,0,43,48,0,0,50000-100000,0.0
381210,Dead by Daylight,2016-06-14,1,Behaviour Digital Inc.,Behaviour Digital Inc.,windows,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Horror;Survival Horror;Multiplayer,128,140721,44985,5904,585,5000000-10000000,14.99
381890,Induction,2017-02-07,1,Bryan Gale,Bryan Gale,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie,Indie;Puzzle;Abstract,6,57,2,0,0,0-20000,7.19
382070,Neoncube,2015-10-02,1,David Lawrence;Nico Thomas,David Lawrence,windows,0,Single-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Adventure;Indie,Adventure;Indie;Colorful,20,65,17,0,0,0-20000,0.79
382380,The Amber Throne,2015-07-06,1,Joshua Missile,Joshua Missile,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Casual;Indie;RPG,RPG;Adventure;Indie,0,101,23,0,0,0-20000,10.99
383560,Squarelands,2015-07-16,1,Oryon Entertainment,Oryon Entertainment,windows,0,Single-player;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Sandbox,0,79,75,379,379,50000-100000,2.79
383690,Mu Complex,2015-10-23,1,studiocime,studiocime,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Hacking,37,128,25,11,11,0-20000,5.99
383750,Funk of Titans,2015-07-24,1,A Crowd of Monsters,Merge Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Casual,Casual;Action;Adventure,21,55,20,0,0,0-20000,4.99
384590,Polychromatic,2015-10-02,1,Brushfire Games,Brushfire Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Indie,Action;Indie;Great Soundtrack,33,21,1,0,0,0-20000,1.99
385390,Hidden Mysteries: Civil War,2015-08-11,1,Gunnar Games,GameMill Entertainment,windows,0,Single-player,Casual,Casual;Hidden Object,0,8,17,0,0,0-20000,3.99
385960,Russian Front,2015-07-23,1,Electric Rune,HexWar Games,windows;mac,0,Single-player;Steam Achievements,Strategy,Strategy;World War II,30,2,16,0,0,0-20000,10.99
386750,Cashtronauts,2016-08-31,1,Simon Prefontaine,Simon Prefontaine,windows,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;4 Player Local,4,39,15,0,0,0-20000,1.99
386990,Asphyxia,2015-08-04,1,ebi-hime,ebi-hime,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;Simulation,Visual Novel;Indie;Simulation,8,160,51,298,298,20000-50000,4.79
388120,Spakoyno: Back to the USSR 2.0,2016-02-15,1,Separate Game Development;Dagestan Technology,Dagestan Technology,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Visual Novel,11,328,345,266,262,200000-500000,3.19
388340,Super Hipster Lumberjack,2015-07-20,1,Day Dreamer Games,Day Dreamer Games,windows,0,Single-player;Partial Controller Support,Indie,Indie;Platformer;Difficult,0,292,88,0,0,20000-50000,0.32
388680,Unfinished - An Artist's Lament,2015-08-04,1,Dust Scratch Games,Dust Scratch Games,windows;mac;linux,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Adventure;Indie,0,21,13,0,0,0-20000,3.99
389430,Knight Online,2016-01-25,1,Noah System;Mgame,NTTGame,windows,0,Single-player;Multi-player;MMO;Steam Trading Cards,Action;Adventure;Free to Play;Massively Multiplayer;RPG,Free to Play;MMORPG;Massively Multiplayer,0,3704,4187,113,107,2000000-5000000,0.0
390200,Queen's Quest: Tower of Darkness,2015-09-10,1,Brave Giant LTD,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Hidden Object;Casual,22,118,59,0,0,20000-50000,6.99
390680,Spacejacked,2016-02-26,1,Rotten Mage,Rotten Mage,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Aliens,25,40,1,0,0,0-20000,6.99
390930,AIPD - Artificial Intelligence Police Department,2016-01-28,1,Blazing Badger,mamor games,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Action;Indie;Local Co-Op,12,36,7,0,0,0-20000,6.99
390940,The Musketeers: Victoria's Quest,2015-08-20,1,New Bridge Games;Alawar Entertainment,Buka Entertainment,windows,0,Single-player;Steam Trading Cards,Adventure;Casual;Indie;Simulation;Strategy,Casual;Strategy;Adventure,0,16,9,0,0,0-20000,2.79
391720,Layers of Fear,2016-02-15,1,Bloober Team SA,Aspyr,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie,Horror;Psychological Horror;Atmospheric,27,14551,1682,227,242,2000000-5000000,14.99
392890,Trucker 2,2015-08-14,1,Silden,Play Publishing,windows,0,Single-player;Partial Controller Support,Racing;Simulation,Simulation;Racing,0,2,13,0,0,0-20000,1.99
393190,TSIOQUE,2018-11-07,1,OhNoo Studio;Smile,OhNoo Studio,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Adventure;Point & Click;Story Rich,31,509,8,0,0,0-20000,10.99
393920,Auto Dealership Tycoon,2015-10-23,1,"Diggidy.net, LLC","Diggidy.net, LLC",windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,Indie;Simulation,Simulation;Indie;Management,32,84,83,0,0,0-20000,4.99
394140,Sound Shift,2015-08-26,1,Matthew Brown,Matthew Brown,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Casual;Indie,Casual;Action;Indie,1,87,19,0,0,20000-50000,0.0
394550,Gunman Clive 2,2015-09-03,1,Hörberg Productions,Hörberg Productions,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Indie,Action;Indie;Platformer,7,72,8,0,0,0-20000,2.59
395520,Missing Translation,2015-09-24,1,AlPixel Games;Luis Diaz;Gustavo Santos;Albert Fernandez;Tice Thomason,GamesBoosters,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Free to Play;Indie,Free to Play;Pixel Graphics;Puzzle,6,2429,331,3,5,200000-500000,0.0
395580,Inventioneers,2015-10-05,1,Filimundus,Filimundus,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Includes level editor,Casual,Casual;Puzzle,14,14,3,0,0,0-20000,4.99
395600,Armor Clash,2015-10-21,1,Windforce,Windforce,windows;mac;linux,0,Single-player;Multi-player;Local Multi-Player;Cross-Platform Multiplayer,Indie;Simulation;Strategy,Strategy;Indie;Simulation,0,50,23,0,0,0-20000,3.99
397040,Sphere III: Rage of the Devastator,2015-12-02,1,NIKITA ONLINE,NIKITA ONLINE,windows,0,Multi-player;MMO;Steam Trading Cards,Action;Free to Play;Massively Multiplayer;RPG,Free to Play;RPG;Massively Multiplayer,0,144,165,0,0,100000-200000,0.0
397210,Kanji Training Game,2015-09-23,1,Targhen Games,Targhen Games,windows,0,Single-player;Steam Trading Cards,Casual,Casual;Education,0,65,15,0,0,0-20000,3.99
397320,CTU: Counter Terrorism Unit,2016-04-22,1,Odin Game Studio,Excalibur Publishing,windows,0,Single-player;Multi-player;Co-op;Steam Workshop;Includes level editor,Action;Strategy,Strategy;Action;Tactical,0,23,50,0,0,0-20000,3.99
397360,Magician's Apprentice,2015-11-09,1,Kosek.com,Kosek.com,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Action;Indie;RPG;Early Access,Early Access;Action;Indie,0,4,7,0,0,0-20000,0.0
397660,Behind You,2017-02-21,1,Hatipoglu Sores;Kendal Hatipoglu,OxPrimeStudio,windows,18,Single-player;Steam Achievements;VR Support,Nudity;Violent;Gore;Action;Adventure;Indie,Adventure;Indie;Gore,0,11,8,0,0,0-20000,12.99
397840,Car Mechanic Manager,2015-09-23,1,InImages,InImages,windows,0,Single-player,Casual;Indie,Casual;Indie,0,38,32,0,0,0-20000,3.99
398020,Colony Assault,2015-12-15,1,Logic tree,Logic tree,windows,0,Single-player;Steam Achievements;Steam Cloud;Stats,Action;Adventure;Indie;Simulation,Indie;Action;Simulation,35,10,9,0,0,0-20000,1.69
398480,Louie Cooks,2015-11-10,1,starlit studios;http://starlit-studios.tumblr.com/,starlit studios;http://starlit-studios.tumblr.com/,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support,Casual;Indie,Indie;Casual;Cute,12,7,4,0,0,0-20000,3.99
398830,Goggles - World of Vaporia,2015-10-09,1,Bit2Good Ug,Bit2Good Ug,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie;Racing,Action;Adventure;Indie,40,7,5,297,299,20000-50000,5.59
399790,Destiny Warriors RPG,2015-09-11,1,ninjalex,EpicQuest Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,RPGMaker;Anime;RPG,6,416,439,256,360,200000-500000,1.59
401840,ChargeShot,2015-09-18,1,Cowboy Color,Cowboy Color,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Indie,Indie;Action;Local Multiplayer,6,67,16,0,0,20000-50000,6.99
402150,String Theory,2016-02-17,1,Zenisport,Zenisport,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Casual,Casual;Education;Music,76,37,12,0,0,0-20000,5.99
402160,Star Command Galaxies,2015-09-17,1,Warballoon,Warballoon,windows;mac,0,Single-player,Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Strategy,1,183,144,0,0,0-20000,11.39
402430,Out of the Park Baseball 17,2016-03-22,1,Out of the Park Developments,Out of the Park Developments,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop,Indie;Simulation;Sports;Strategy,Sports;Strategy;Simulation,63,568,52,0,0,100000-200000,14.99
402890,Nyctophilia,2015-09-23,1,CAT IN JAR GAMES,CAT IN JAR GAMES,windows,0,Single-player,Adventure;Free to Play;Indie,Free to Play;Indie;Adventure,0,180,108,0,0,100000-200000,0.0
404860,Inside Me,2015-09-29,1,SnowBiteGames,SnowBiteGames,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie,Action;Indie,21,18,5,0,0,0-20000,5.79
406280,DesertLand 2115,2016-11-18,1,FutureVisionsGames,FutureVisionsGames,windows,0,Multi-player;Online Multi-Player,Action;Indie,Survival;Open World;Action,0,32,41,0,0,0-20000,3.99
406940,Dub Dash,2016-02-16,1,Incodra,Headup Games,windows;mac,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Indie;Racing,Action;Racing;Indie,30,147,59,0,0,20000-50000,3.99
408250,Eagle Flight,2016-12-20,1,Ubisoft Montreal Studio,Ubisoft,windows,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Simulation,Simulation;Action;VR,35,160,83,0,0,0-20000,16.99
409660,Angry Video Game Nerd II: ASSimilation,2016-03-29,1,FreakZone Games,Screenwave Media,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie,Action;Indie;Adventure,19,498,51,0,0,20000-50000,6.99
410770,Roads of Rome,2015-10-16,1,Whiterra,Qumaron,windows,0,Single-player,Adventure;Casual;Simulation;Strategy,Casual;Strategy;Adventure,0,17,7,0,0,0-20000,2.79
411530,Roads of Rome 3,2015-10-19,1,Whiterra,Qumaron,windows,0,Single-player,Adventure;Casual;Simulation;Strategy,Casual;Strategy;Adventure,0,12,3,0,0,0-20000,2.79
413710,Blood and Gold: Caribbean!,2015-12-10,1,Snowbird Games,Snowbird Games,windows,0,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud,Action;Adventure;Indie;RPG;Strategy,Pirates;Naval;RPG,39,548,379,0,0,50000-100000,14.99
414720,Astrox: Hostile Space Excavation,2015-11-30,1,Jace Masula,Jace Masula,windows,0,Single-player,Adventure;Indie;Simulation,Simulation;Indie;Space,0,291,50,427,427,50000-100000,7.19
414740,RAID: World War II,2017-09-26,1,Lion game Lion,Starbreeze Publishing AB,windows,18,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support,Violent;Gore;Action;Adventure;RPG,Action;World War II;FPS,82,888,806,279,279,20000-50000,15.49
415660,Tiger Knight,2018-04-30,1,NetDragon Websoft Inc.,NetDragon Websoft Inc.,windows,0,Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;In-App Purchases,Violent;Action;Free to Play;Massively Multiplayer;Strategy,Strategy;Free to Play;Massively Multiplayer,33,859,552,9,14,200000-500000,0.0
416140,The Final Frontier: Space Simulator,2016-06-30,1,TBD,Vault Interactive,windows,0,Multi-player;Online Multi-Player;Steam Achievements;Partial Controller Support,Action;Adventure;Massively Multiplayer;Simulation;Early Access,Early Access;Adventure;Action,1,7,12,0,0,0-20000,0.79
416840,Color By,2016-01-21,1,Team Polykroma,Polykroma Games,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Indie,Indie;Puzzle;Puzzle-Platformer,13,4,1,0,0,0-20000,6.99
419130,Strength of the Sword ULTIMATE,2018-10-03,1,Ivent Games,Ivent Games,windows,0,Single-player;Multi-player;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Indie;RPG;Early Access,Early Access;Action;Indie,11,16,1,0,0,0-20000,7.19
421670,CUPID - A free to play Visual Novel,2016-03-04,1,Fervent,Afterthought Studios,windows;mac;linux,0,Single-player;Steam Achievements,Free to Play;Indie;RPG;Simulation,Free to Play;Visual Novel;Sexual Content,67,865,129,0,0,100000-200000,0.0
421740,Goetia,2016-04-14,1,Sushee,Square Enix,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,16,223,51,0,0,50000-100000,9.99
423890,Gods and Idols,2016-12-12,1,Viking Tao,Viking Tao,windows,0,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op,Free to Play;Massively Multiplayer;RPG;Strategy;Early Access,Early Access;Free to Play;Strategy,0,419,183,1,1,100000-200000,0.0
424250,Balrum,2016-02-29,1,Balcony Team,Balcony Team,windows;mac;linux,0,Single-player;Steam Achievements,Adventure;Indie;RPG;Strategy,RPG;Adventure;Strategy,42,288,76,0,0,20000-50000,9.99
424310,Blessed Ones: The Magic Wolves,2015-12-04,1,Wolf Ray Studios,Wolf Ray Studios,windows,0,Single-player,Indie;RPG;Early Access,Early Access;RPG;Indie,0,1,0,0,0,0-20000,5.59
425670,Seraph,2016-09-20,1,Dreadbit,Dreadbit,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Action;Female Protagonist;Platformer,30,378,70,0,0,50000-100000,9.99
427730,Who's Your Daddy,2016-05-13,1,Evil Tortilla Games,Evil Tortilla Games,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Partial Controller Support,Action;Casual;Indie,Funny;Multiplayer;First-Person,0,9751,3747,103,70,1000000-2000000,3.99
428180,Islet Online,2019-02-11,1,Morenori Soft,Morenori Soft,windows,0,Single-player;Multi-player;MMO;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Massively Multiplayer;RPG,Massively Multiplayer;Indie;Sandbox,10,296,85,0,0,0-20000,13.49
428660,Deliver Us The Moon: Fortuna,2018-09-28,1,KeokeN Interactive,KeokeN Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Adventure;Indie;Action,28,298,65,0,0,0-20000,19.99
428950,"Kivi, Toilet and Shotgun",2016-01-15,1,16bit Nights,Back To Basics Gaming,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie,Indie;Action;Casual,0,237,240,218,216,500000-1000000,0.79
429360,Lupinball,2017-08-17,1,Craftven,Craftven,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie;Sports;Strategy,Action;Indie;Casual,24,53,0,0,0,0-20000,6.99
429480,Vision Runner,2016-10-19,1,Snowbit Interactive,Snowbit Interactive,windows,0,Single-player;Steam Achievements;Includes level editor,Indie;Early Access,Early Access;Indie;Parkour,5,3,3,0,0,0-20000,7.19
429600,Fairy Tale Mysteries: The Puppet Thief,2016-01-07,1,The House of Fables;Gogii Games,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Hidden Object,17,133,81,0,0,20000-50000,6.99
431290,Level 22: Gary’s Misadventure - 2016 Edition,2016-02-11,1,Moving Player,Plug In Digital,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Indie;Stealth,21,26,11,0,0,0-20000,6.29
431300,Classic Fun Collection 5 in 1,2016-04-29,1,3DDUO,Fun4Family;Plug In Digital,windows;mac,0,Single-player,Casual,Casual,0,6,5,0,0,0-20000,2.79
432470,Magdalena,2016-02-22,1,MagdalenaTeam,MagdalenaTeam,windows;mac,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Adventure;Indie;Historical,0,102,137,205,225,200000-500000,1.99
433360,Drawn™: Dark Flight,2016-01-19,1,Big Fish Studios,"Big Fish Games, Inc.",windows,0,Single-player;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Hidden Object,0,6,6,0,0,0-20000,6.99
433750,The Grandfather,2016-05-03,1,Mikeypoo's Games;David Szymanski,Plug In Digital,windows;mac,0,Single-player,Adventure;Indie,Indie;Adventure;Horror,0,60,41,0,0,20000-50000,0.0
434150,Dark Night,2016-01-11,1,NighthoodGames,NighthoodGames,windows;mac,0,Single-player,Adventure;Indie,Indie;Adventure;Horror,0,15,35,0,0,0-20000,2.79
434890,Eight Mini Racers,2016-01-12,1,David Mulder,David Mulder,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support,Casual;Racing,Racing;Casual,0,29,22,209,219,100000-200000,0.79
435120,Rusty Lake Hotel,2016-01-29,1,Rusty Lake,Rusty Lake,windows;mac,0,Single-player;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Puzzle,0,1311,86,205,205,100000-200000,1.59
436500,Diaries of a Spaceport Janitor,2016-09-16,1,Sundae Month,tinyBuild,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Casual;Indie;RPG;Simulation,Indie;Adventure;Casual,44,335,98,0,0,20000-50000,6.99
439190,Stories: The Path of Destinies,2016-04-12,1,Spearhead Games,Spearhead Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;RPG,Adventure;RPG;Action,37,4138,609,272,303,1000000-2000000,10.99
440770,Drawn Story,2016-02-11,1,Vitaly Rekubratskiy,Vitaly Rekubratskiy,windows;mac,0,Single-player,Adventure;Indie;Early Access,Early Access;Adventure;Indie,0,7,9,0,0,0-20000,3.99
442140,Dyadic,2016-02-25,1,Handsome Dragon Games,Handsome Dragon Games,windows;mac,0,Single-player;Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Indie,Indie;Local Co-Op;Puzzle-Platformer,6,11,5,0,0,0-20000,6.99
443980,Burokku Girls,2016-02-17,1,Silver Cow Studio,Silver Cow Studio,windows;mac;linux,18,Single-player;Steam Trading Cards,Adventure;Indie;Simulation,Nudity;Indie;Adventure,0,31,15,0,0,0-20000,5.99
444180,Techwars Online,2016-03-17,1,Argus Games,Argus Games,windows,0,Single-player;Multi-player;MMO;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Action;Indie;Massively Multiplayer;Strategy,Strategy;Massively Multiplayer;Indie,48,76,37,0,0,0-20000,3.99
444480,Broken Dreams,2016-02-19,1,Mihai Morosanu,New Reality Games,windows;mac;linux,0,Single-player;Co-op;Shared/Split Screen;Steam Trading Cards,Casual;Indie,Indie;Casual;Platformer,0,278,119,233,241,200000-500000,1.59
444930,Zaccaria Pinball,2016-06-16,1,Magic Pixel Kft.,Magic Pixel Kft.,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Free to Play;Indie;Simulation;Sports;Early Access,Early Access;Free to Play;Pinball,4034,315,91,0,0,100000-200000,0.0
447000,Grimsfield,2016-05-12,1,Adam Wells,Adam Wells,windows;mac,0,Single-player,Adventure;Indie,Adventure;Indie;Point & Click,0,19,2,0,0,0-20000,2.99
448820,Planet in the Shadows,2016-04-15,1,Sergey Bobrov,Sergey Bobrov,windows,0,Single-player,Adventure;Indie,Adventure;Indie;Rogue-like,0,15,7,0,0,0-20000,2.79
448850,Overload,2018-05-31,1,"Revival Productions, LLC","Revival Productions, LLC",windows;mac;linux,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Captions available;Steam Cloud;Steam Leaderboards,Action,Action;6DOF;FPS,50,914,39,196,196,20000-50000,23.79
450670,Table Top Racing: World Tour,2016-05-25,1,Playrise Digital Ltd.,Playrise Digital Ltd.,windows,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Stats,Action;Indie;Racing,Racing;Indie;Action,36,349,115,0,0,50000-100000,7.19
451100,Cubikolor,2016-05-20,1,Fractal Box;Moving Player,Plug In Digital;Moving Player,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Casual;Indie,Indie;Casual;Puzzle,21,31,1,0,0,0-20000,6.39
451140,Drawn®: Dark Flight™ Collector's Edition,2016-03-08,1,Big Fish Studios,Big Fish Games,windows,0,Single-player,Casual;Simulation;Strategy,Casual;Strategy;Simulation,0,12,6,0,0,0-20000,6.99
451780,Trillion: God of Destruction,2016-11-07,1,IDEA FACTORY;COMPILE HEART;PREAPP PARTNERS,Idea Factory International,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG;Strategy,RPG;Strategy;Anime,36,237,79,1,1,20000-50000,15.49
